ID,Data,Produto,Categoria,Quantidade,Preço
307,2023-12-24 18:48:29,Esmerilhadeira,Ferramentas Elétricas,37,199.69
308,2023-12-20 01:19:13,Dobradiça,Ferragens,19,4.39
309,2023-05-27 05:39:28,Mangueira,Jardinagem,36,49.99
310,2023-07-25 20:06:46,Adesivo,Fixação,38,4.39
311,2023-04-04 18:33:56,Chave de Fenda,Ferramentas Manuais,45,10.39
312,2023-01-12 07:24:55,Mangueira,Jardinagem,11,49.99
313,2023-11-13 08:18:23,Pincel,Pintura,32,4.89
314,2023-09-01 06:50:45,Mangueira,Jardinagem,8,49.99
315,2023-02-25 13:26:04,Lixa,Pintura,20,3.89
316,2023-09-17 23:16:15,Capacete,Segurança,9,44.59
317,2023-07-07 14:29:18,Válvula,Hidráulicos,38,19.59
318,2023-09-26 23:33:35,Gancho,Segurança,18,14.89
319,2023-04-11 12:34:45,Luva,Hidráulicos,24,7.89
320,2023-06-02 00:11:56,Bloco de Concreto,Construção,14,14.89
321,2023-05-25 21:03:45,Registro,Hidráulicos,10,19.99
322,2023-11-07 02:28:57,Máscara,Segurança,44,9.89
323,2023-08-06 09:33:34,Luva,Hidráulicos,38,7.89
324,2023-10-14 07:28:24,Esmerilhadeira,Ferramentas Elétricas,21,199.69
325,2023-12-31 18:45:46,Resina,Pintura,4,49.99
326,2023-01-17 10:42:30,Tijolo,Construção,39,0.75
327,2023-09-16 17:50:21,Fita Antichamas,Vedação,17,7.89
328,2023-12-26 10:33:08,Chave Philips,Ferramentas Manuais,49,14.95
329,2023-05-14 06:39:27,Luminária,Elétricos,8,49.59
330,2023-06-08 05:04:40,Condulete,Elétricos,44,7.89
331,2023-01-31 05:23:27,Cortador de Azulejo,Ferramentas Elétricas,4,119.89
332,2023-06-28 16:18:53,Tijolo,Construção,45,0.75
333,2023-11-17 20:08:09,Válvula,Hidráulicos,47,19.59
334,2023-09-08 15:52:37,Areia,Construção,24,49.79
335,2023-02-06 12:40:56,Adesivo,Fixação,6,4.39
336,2023-09-12 10:26:43,Canaleta,Elétricos,10,14.59
337,2023-07-17 07:45:52,Telha,Construção,23,9.95
338,2023-09-14 08:31:46,Areia,Construção,36,49.79
339,2023-12-28 10:00:20,Joelho,Hidráulicos,9,14.79
340,2023-05-06 16:23:58,Chave de Impacto,Ferramentas Elétricas,4,179.29
341,2023-01-07 07:24:07,Esmerilhadeira,Ferramentas Elétricas,39,199.69
342,2023-05-29 01:22:47,Registro,Hidráulicos,32,19.99
343,2023-06-21 05:09:39,Mangueira,Jardinagem,35,49.99
344,2023-04-17 18:03:34,Escada,Segurança,22,199.49
345,2023-03-03 11:41:56,Semente,Jardinagem,17,9.95
346,2023-01-09 05:20:47,Serrote,Ferramentas Manuais,36,29.59
347,2023-04-26 21:39:12,Disjuntor,Elétricos,35,34.99
348,2023-12-29 16:03:31,Fita Isolante,Vedação,40,2.49
349,2023-11-03 18:41:00,Escada,Segurança,15,199.49
350,2023-05-10 13:49:01,Escada,Segurança,41,199.49
351,2023-08-05 01:56:39,Parafuso,Ferragens,36,1.39
352,2023-01-12 08:27:57,Bloco de Concreto,Construção,3,14.89
353,2023-03-23 11:07:09,Tijolo,Construção,37,0.75
354,2023-09-17 23:22:48,Lixa,Pintura,28,3.89
355,2023-04-04 05:51:17,Fita Veda Rosca,Vedação,6,3.39
356,2023-07-22 05:16:19,Fita Veda Rosca,Vedação,23,3.39
357,2023-03-30 22:57:21,Semente,Jardinagem,19,9.95
358,2023-11-28 05:28:21,Ralo,Hidráulicos,5,11.89
359,2023-05-06 22:44:20,Fechadura,Ferragens,9,29.89
360,2023-08-12 06:01:08,Tubo PVC,Hidráulicos,27,9.89
361,2023-11-29 18:42:33,Talabarte,Segurança,12,34.89
362,2023-02-16 06:27:50,Cimento,Construção,34,24.95
363,2023-12-22 20:04:55,Fita Crepe,Fixação,38,2.95
364,2023-02-27 05:19:08,Grama m2,Jardinagem,43,14.95
365,2023-07-28 02:05:58,Martelo,Ferramentas Manuais,41,24.89
366,2023-06-30 23:30:44,Esmerilhadeira,Ferramentas Elétricas,43,199.69
367,2023-02-28 12:06:22,Disjuntor,Elétricos,6,34.99
368,2023-04-22 19:09:31,Prego,Ferragens,18,1.95
369,2023-04-26 11:40:55,Verniz,Pintura,42,24.79
370,2023-03-19 13:28:57,Joelho,Hidráulicos,11,14.79
371,2023-01-20 13:09:49,Serra Elétrica,Ferramentas Elétricas,12,249.79
372,2023-02-04 03:26:59,Semente,Jardinagem,28,9.95
373,2023-04-14 06:18:54,Bloco de Concreto,Construção,10,14.89
374,2023-05-28 02:52:50,Fita Antichamas,Vedação,32,7.89
375,2023-10-13 00:44:55,Tinta Spray,Pintura,45,39.89
376,2023-08-30 11:06:18,Joelho,Hidráulicos,37,14.79
377,2023-05-30 06:59:45,Adesivo,Fixação,17,4.39
378,2023-03-28 05:50:53,Puxador,Ferragens,48,11.89
379,2023-10-15 16:29:47,Condulete,Elétricos,18,7.89
380,2023-05-01 06:51:16,Canaleta,Elétricos,41,14.59
381,2023-02-22 08:51:29,Areia,Construção,42,49.79
382,2023-02-04 02:26:24,Capacete,Segurança,33,44.59
383,2023-07-09 12:58:36,Silicone,Fixação,37,11.89
384,2023-05-26 14:33:18,Furadeira,Ferramentas Elétricas,31,149.49
385,2023-02-23 20:51:23,Chave de Fenda,Ferramentas Manuais,8,10.39
386,2023-11-22 22:40:15,Fita Isolante,Vedação,36,2.49
387,2023-01-16 19:45:03,Esmerilhadeira,Ferramentas Elétricas,24,199.69
388,2023-09-01 07:22:44,Condulete,Elétricos,17,7.89
389,2023-03-02 20:05:57,Chave Philips,Ferramentas Manuais,34,14.95
390,2023-03-13 20:49:09,Torneira,Hidráulicos,35,34.89
391,2023-01-02 08:55:30,Canaleta,Elétricos,17,14.59
392,2023-02-19 02:15:41,PU,Fixação,39,9.95
393,2023-08-29 00:05:28,Interruptor,Elétricos,37,9.95
394,2023-02-08 11:41:25,Prego,Ferragens,35,1.95
395,2023-05-10 14:06:59,Fita Crepe,Fixação,13,2.95
396,2023-02-01 18:36:59,Luva,Segurança,7,7.89
397,2023-11-09 19:59:35,Óculos de Proteção,Segurança,40,19.99
398,2023-07-12 08:15:45,Torneira,Hidráulicos,49,34.89
399,2023-10-28 12:17:16,Grama m2,Jardinagem,14,14.95
400,2023-10-30 13:26:12,Pincel,Pintura,15,4.89
401,2023-05-25 06:55:19,Tomada,Elétricos,17,3.99
402,2023-12-24 06:58:46,Grama m2,Jardinagem,1,14.95
403,2023-02-16 23:31:20,Serrote,Ferramentas Manuais,29,29.59
404,2023-01-13 14:30:58,Botas,Segurança,17,79.79
405,2023-11-15 05:26:11,Mangueira,Jardinagem,37,49.99
406,2023-12-03 17:24:57,Óculos de Proteção,Segurança,11,19.99
407,2023-08-21 16:24:56,Pulverizador,Jardinagem,46,79.59
408,2023-12-28 00:18:02,Puxador,Ferragens,2,11.89
409,2023-12-30 14:18:22,Semente,Jardinagem,11,9.95
410,2023-01-30 15:32:26,Chave de Impacto,Ferramentas Elétricas,38,179.29
411,2023-10-08 22:13:41,Tinta Latex,Pintura,42,59.89
412,2023-08-15 14:14:37,Tinta Spray,Pintura,20,39.89
